"ID","Age","Sex","Violation","Location","Army","PACS","Police"
"sv0011712",40,"M","Mu","urban","No","No","No"
"sv0016541",13,"F","Ds","urban","No","No","No"
"svv000158",35,"M","Mu","rural","Yes","No","No"
"svv000193",42,"F","Mu","rural","No","No","No"
"sv0018467",17,"M","Mu","rural","Yes","No","No"
"sv0011830",40,"M","Mu","rural","Yes","No","No"
"svv000036",55,"M","Mu","rural","Yes","No","No"
"sv0002264",40,"M","Mu","rural","Yes","No","No"
"sv0016569",19,"M","Mu","rural","No","No","Yes"
"sv0003685",45,"F","Mu","rural","Yes","No","No"
"sv0017931",24,"M","Mu","rural","No","No","No"
"sv0016701",19,"M","Mu","urban","No","No","No"
"sv0013405",13,"F","Mu","rural","Yes","No","No"
"sv0013221",48,"M","Mu","rural","No","No","No"
"sv0017321",29,"M","Mu","rural","No","No","No"
"sv0006597",25,"M","Se","rural","No","No","No"
"sv0003229",10,"M","Mu","rural","No","No","No"
"sv0009663",29,"M","Se","rural","No","No","No"
"sv0005517",25,"M","Mu","rural","No","Yes","No"
"sv0013879",33,"F","Mu","rural","No","No","No"
"sv0006634",35,"M","DM","urban","No","No","No"
"sv0015766",45,"M","Se","rural","No","No","No"
"sv0009896",40,"M","Mu","urban","No","No","No"
"sv0015218",18,"M","Mu","rural","No","No","No"
"svv000251",22,"F","Mu","rural","Yes","No","No"
"sv0006261",22,"M","Mu","urban","No","No","No"
"sv0007985",34,"M","Mu","rural","No","No","No"
"sv0008288",23,"M","HR","urban","No","No","No"
"sv0015593",35,"M","Mu","rural","Yes","No","No"
"sv0015665",42,"M","Mu","rural","No","No","No"
"sv0016280",61,"M","Se","rural","No","No","No"
"sv0015787",28,"M","Mu","rural","No","No","No"
"sv0009485",36,"M","Mu","rural","Yes","No","No"
"sv0006074",54,"M","Mu","rural","No","No","No"
"sv0016499",20,"M","Mu","urban","No","No","No"
"sv0010904",28,"M","To","rural","Yes","Yes","No"
"sv0014435",12,"F","Mu","rural","Yes","No","No"
"sv0017271",36,"M","Se","rural","No","No","No"
"sv0013843",3,"M","Ds","urban","No","No","No"
"sv0006025",37,"M","Mu","rural","No","No","No"
"sv0424632",18,"M","Se","rural","No","No","No"
"sv0010825",44,"M","Se","rural","No","No","No"
"sv0005898",35,"M","Se","rural","No","No","Yes"
"sv0005981",27,"M","DM","rural","No","No","No"
"sv0014010",28,"M","To","rural","Yes","No","No"
"sv0009864",17,"F","DM","rural","Yes","No","No"
"sv0011552",16,"M","Se","rural","No","No","No"
"sv0007997",16,"M","Mu","rural","No","No","No"
"sv0013662",5,"F","Ds","urban","No","No","No"
"sv0015865",30,"M","Mu","rural","No","No","No"
"svv000125",36,"M","Mu","urban","No","No","No"
"sv0011508",20,"M","Se","urban","No","No","No"
"sv0016979",40,"M","Mu","rural","No","No","No"
"sv0014918",22,"M","Ds","urban","No","No","No"
"sv0004108",41,"M","Mu","rural","No","No","No"
"sv0012522",39,"M","Se","rural","No","No","No"
"sv0017119",16,"M","Se","urban","No","No","No"
"sv0015255",32,"M","Se","rural","Yes","No","No"
"sv0012310",45,"M","Mu","rural","No","Yes","No"
"sv0003512",18,"F","Mu","rural","Yes","No","No"
"sv0010194",33,"M","Mu","rural","No","No","No"
"svv000145",55,"F","Mu","rural","Yes","No","No"
"svv000054",10,"M","HR","urban","No","No","No"
"sv0412675",57,"M","Mu","urban","No","No","No"
"sv0050073",15,"M","Mu","rural","No","No","No"
"sv0008702",60,"M","Se","rural","Yes","No","No"
"sv0050155",19,"M","Se","rural","No","No","Yes"
"sv0001605",36,"M","Se","rural","No","No","No"
"sv0419969",22,"M","Ds","urban","No","No","No"
"sv0012232",42,"M","Mu","rural","Yes","No","No"
"sv0016888",26,"F","Mu","rural","Yes","No","No"
"sv0011086",40,"F","Mu","rural","Yes","No","No"
"sv0008077",24,"M","Mu","urban","No","No","No"
"sv0008426",7,"M","Mu","rural","Yes","No","No"
"sv0009828",23,"M","Mu","rural","No","No","No"
"sv0012553",40,"M","Mu","rural","Yes","No","No"
"sv0002462",27,"M","Se","rural","No","No","No"
"svv000012",28,"M","Mu","rural","Yes","No","No"
"sv0011752",18,"M","Mu","rural","Yes","No","No"
"sv0008110",73,"M","Mu","urban","No","No","No"
"sv0005567",34,"M","Ds","urban","No","No","No"
"sv0011559",18,"M","Se","urban","No","No","No"
"sv0014699",20,"M","Mu","urban","No","No","No"
"sv0011771",34,"M","Mu","rural","Yes","No","No"
"sv0010997",46,"M","Mu","rural","No","No","No"
"sv0005467",4,"M","Mu","rural","No","No","No"
"sv0008591",24,"M","Se","urban","No","No","No"
"sv0416545",30,"M","Mu","rural","No","No","No"
"sv0015009",46,"M","Mu","rural","No","No","No"
"sv0018144",22,"M","Mu","rural","Yes","No","No"
"sv0016219",19,"M","Ds","rural","No","No","No"
"sv0011210",14,"M","Ds","rural","No","No","No"
"sv0009948",22,"M","Mu","urban","No","No","No"
"sv0018334",40,"M","Mu","rural","No","No","No"
"sv0004293",67,"M","Se","rural","Yes","No","No"
"sv0016655",32,"M","Mu","rural","No","No","No"
"sv0003353",53,"M","Mu","rural","Yes","No","No"
"sv0013852",45,"M","To","rural","No","No","No"
"sv0015912",31,"F","Mu","urban","No","No","No"
"svv000217",92,"F","Mu","rural","Yes","No","No"
"sv0002067",15,"M","Ds","urban","No","No","No"
"sv0007110",32,"M","Mu","urban","No","No","No"
"sv0006285",24,"M","Mu","urban","No","No","No"
"sv0016545",25,"F","Mu","rural","Yes","No","No"
"sv0003813",14,"M","Ds","urban","No","No","No"
"sv0005396",33,"M","Ds","urban","No","No","No"
"sv0002031",35,"M","Mu","rural","No","Yes","No"
"sv0011896",30,"M","Se","rural","No","No","No"
"sv0009368",28,"M","Mu","rural","Yes","No","No"
